column,nominal_position_mm,green_median,green_std
1.870000000000000000e+02,4.913586206896551545e+01,9.850000000000000000e+01,7.272607233463266141e+01
1.880000000000000000e+02,4.939862068965517494e+01,1.000000000000000000e+02,6.879402630719877720e+01
1.890000000000000000e+02,4.966137931034482733e+01,1.005000000000000000e+02,5.710320517857702782e+01
1.900000000000000000e+02,4.992413793103447972e+01,9.900000000000000000e+01,6.012820504278059985e+01
1.910000000000000000e+02,5.018689655172413921e+01,1.000000000000000000e+02,5.657197971512830748e+01
1.920000000000000000e+02,5.044965517241379160e+01,1.005000000000000000e+02,5.387117719744843924e+01
1.930000000000000000e+02,5.071241379310345110e+01,1.015000000000000000e+02,5.051333707271994200e+01
1.940000000000000000e+02,5.097517241379310349e+01,9.900000000000000000e+01,4.966061466902675647e+01
1.950000000000000000e+02,5.123793103448275588e+01,9.750000000000000000e+01,5.114397909062436298e+01
1.960000000000000000e+02,5.150068965517241537e+01,9.900000000000000000e+01,6.129152503949192976e+01
1.970000000000000000e+02,5.176344827586206776e+01,9.750000000000000000e+01,5.574224145689593968e+01
1.980000000000000000e+02,5.202620689655172725e+01,9.600000000000000000e+01,5.227330354864601958e+01
1.990000000000000000e+02,5.228896551724137964e+01,9.450000000000000000e+01,4.487320098529485080e+01
2.000000000000000000e+02,5.255172413793103203e+01,9.350000000000000000e+01,4.241852893750822062e+01
2.010000000000000000e+02,5.281448275862069153e+01,9.300000000000000000e+01,3.701294818483571447e+01
2.020000000000000000e+02,5.307724137931034392e+01,9.350000000000000000e+01,3.632606961031338244e+01
2.030000000000000000e+02,5.334000000000000341e+01,9.450000000000000000e+01,3.791766825600200974e+01
2.040000000000000000e+02,5.360275862068965580e+01,9.250000000000000000e+01,4.170731350734544662e+01
2.050000000000000000e+02,5.386551724137930819e+01,9.400000000000000000e+01,3.637247032059029550e+01
2.060000000000000000e+02,5.412827586206896768e+01,9.450000000000000000e+01,3.611146300576406531e+01
2.070000000000000000e+02,5.439103448275862007e+01,9.550000000000000000e+01,3.753053733480096810e+01
2.080000000000000000e+02,5.465379310344827246e+01,9.800000000000000000e+01,3.612699437016899395e+01
2.090000000000000000e+02,5.491655172413793196e+01,9.800000000000000000e+01,3.688815090355348048e+01
2.100000000000000000e+02,5.517931034482758434e+01,9.800000000000000000e+01,3.336092607960529932e+01
2.110000000000000000e+02,5.544206896551724384e+01,9.800000000000000000e+01,3.252007926736273902e+01
2.120000000000000000e+02,5.570482758620689623e+01,9.800000000000000000e+01,3.000066550187771597e+01
2.130000000000000000e+02,5.596758620689654862e+01,9.800000000000000000e+01,3.241524739823666579e+01
2.140000000000000000e+02,5.623034482758620811e+01,9.800000000000000000e+01,3.316419981403976891e+01
2.150000000000000000e+02,5.649310344827586050e+01,9.750000000000000000e+01,3.540921490233862556e+01
2.160000000000000000e+02,5.675586206896552000e+01,9.800000000000000000e+01,3.654297318074829093e+01
2.170000000000000000e+02,5.701862068965517238e+01,9.800000000000000000e+01,3.538947485560580475e+01
2.180000000000000000e+02,5.728137931034482477e+01,9.550000000000000000e+01,3.234020545526711743e+01
2.190000000000000000e+02,5.754413793103448427e+01,9.600000000000000000e+01,3.227931887576522740e+01
2.200000000000000000e+02,5.780689655172413666e+01,9.500000000000000000e+01,3.311060352775560744e+01
2.210000000000000000e+02,5.806965517241379615e+01,9.450000000000000000e+01,3.204938003170524041e+01
2.220000000000000000e+02,5.833241379310344854e+01,9.450000000000000000e+01,3.311956847503032009e+01
2.230000000000000000e+02,5.859517241379310093e+01,9.300000000000000000e+01,3.661283927804561955e+01
2.240000000000000000e+02,5.885793103448276042e+01,9.200000000000000000e+01,3.831639118358268803e+01
2.250000000000000000e+02,5.912068965517241281e+01,9.400000000000000000e+01,3.648620363309336767e+01
2.260000000000000000e+02,5.938344827586207231e+01,9.100000000000000000e+01,3.537887689788294665e+01
2.270000000000000000e+02,5.964620689655172470e+01,9.300000000000000000e+01,3.193623611328256473e+01
2.280000000000000000e+02,5.990896551724137709e+01,9.050000000000000000e+01,3.065805330804434448e+01
2.290000000000000000e+02,6.017172413793103658e+01,9.100000000000000000e+01,3.240835770762775780e+01
2.300000000000000000e+02,6.043448275862068897e+01,8.700000000000000000e+01,2.949522530804302889e+01
2.310000000000000000e+02,6.069724137931034136e+01,8.850000000000000000e+01,2.931965086905595186e+01
2.320000000000000000e+02,6.096000000000000085e+01,8.900000000000000000e+01,2.213099220487464436e+01
2.330000000000000000e+02,6.122275862068965324e+01,8.600000000000000000e+01,2.124140961986489629e+01
2.340000000000000000e+02,6.148551724137931274e+01,8.600000000000000000e+01,1.733312049148168299e+01
2.350000000000000000e+02,6.174827586206896513e+01,8.600000000000000000e+01,1.602726626374220231e+01
2.360000000000000000e+02,6.201103448275861751e+01,8.650000000000000000e+01,1.469113430213383253e+01
2.370000000000000000e+02,6.227379310344827701e+01,8.500000000000000000e+01,1.501062991405312985e+01
2.380000000000000000e+02,6.253655172413792940e+01,8.550000000000000000e+01,1.598567066677737714e+01
2.390000000000000000e+02,6.279931034482758889e+01,8.450000000000000000e+01,1.874314689574713810e+01
2.400000000000000000e+02,6.306206896551724128e+01,8.400000000000000000e+01,1.755812519651989234e+01
2.410000000000000000e+02,6.332482758620689367e+01,8.400000000000000000e+01,1.946380856230352308e+01
2.420000000000000000e+02,6.358758620689655316e+01,8.350000000000000000e+01,1.963410970451394988e+01
2.430000000000000000e+02,6.385034482758620555e+01,8.350000000000000000e+01,1.609443431662704072e+01
2.440000000000000000e+02,6.411310344827586505e+01,8.250000000000000000e+01,1.458541651787839832e+01
2.450000000000000000e+02,6.437586206896551744e+01,8.200000000000000000e+01,1.495094699248921088e+01
2.460000000000000000e+02,6.463862068965516983e+01,8.250000000000000000e+01,1.580610322962480119e+01
2.470000000000000000e+02,6.490137931034482222e+01,8.300000000000000000e+01,1.712935873159166178e+01
2.480000000000000000e+02,6.516413793103448882e+01,8.200000000000000000e+01,1.700356120787642666e+01
2.490000000000000000e+02,6.542689655172414120e+01,8.100000000000000000e+01,1.772195554484135727e+01
2.500000000000000000e+02,6.568965517241379359e+01,8.200000000000000000e+01,1.979915428538973288e+01
2.510000000000000000e+02,6.595241379310344598e+01,8.150000000000000000e+01,1.718445680129446274e+01
2.520000000000000000e+02,6.621517241379309837e+01,8.050000000000000000e+01,1.574039334447805061e+01
2.530000000000000000e+02,6.647793103448276497e+01,8.200000000000000000e+01,1.474905835035654889e+01
2.540000000000000000e+02,6.674068965517241736e+01,8.100000000000000000e+01,1.414617083544361620e+01
2.550000000000000000e+02,6.700344827586206975e+01,8.100000000000000000e+01,1.456641876219256382e+01
2.560000000000000000e+02,6.726620689655172214e+01,8.200000000000000000e+01,1.454447203121057441e+01
2.570000000000000000e+02,6.752896551724137453e+01,8.100000000000000000e+01,1.495744832572276195e+01
2.580000000000000000e+02,6.779172413793104113e+01,8.100000000000000000e+01,1.540202006953056291e+01
2.590000000000000000e+02,6.805448275862069352e+01,8.100000000000000000e+01,1.645763447883349073e+01
2.600000000000000000e+02,6.831724137931034591e+01,8.100000000000000000e+01,1.720009639427123105e+01
2.610000000000000000e+02,6.857999999999999829e+01,8.100000000000000000e+01,1.661386166144270149e+01
2.620000000000000000e+02,6.884275862068965068e+01,8.100000000000000000e+01,1.569101332946841687e+01
2.630000000000000000e+02,6.910551724137931728e+01,8.100000000000000000e+01,1.802456608739552735e+01
2.640000000000000000e+02,6.936827586206896967e+01,8.150000000000000000e+01,1.797200755496045232e+01
2.650000000000000000e+02,6.963103448275862206e+01,8.200000000000000000e+01,1.728378334354682622e+01
2.660000000000000000e+02,6.989379310344827445e+01,8.100000000000000000e+01,1.683369430306042247e+01
2.670000000000000000e+02,7.015655172413792684e+01,8.200000000000000000e+01,1.673536622362620463e+01
2.680000000000000000e+02,7.041931034482757923e+01,8.250000000000000000e+01,1.864152650446488124e+01
2.690000000000000000e+02,7.068206896551724583e+01,8.100000000000000000e+01,1.780740667921325837e+01
2.700000000000000000e+02,7.094482758620689822e+01,8.200000000000000000e+01,1.778487136038817340e+01
2.710000000000000000e+02,7.120758620689655061e+01,8.200000000000000000e+01,1.842170933979797809e+01
2.720000000000000000e+02,7.147034482758620300e+01,8.100000000000000000e+01,1.868394615037198037e+01
2.730000000000000000e+02,7.173310344827585538e+01,8.200000000000000000e+01,1.822075996631314965e+01
2.740000000000000000e+02,7.199586206896552198e+01,8.200000000000000000e+01,1.780652921371508768e+01
2.750000000000000000e+02,7.225862068965517437e+01,8.300000000000000000e+01,1.919051957781932316e+01
2.760000000000000000e+02,7.252137931034482676e+01,8.150000000000000000e+01,1.832078168819951713e+01
2.770000000000000000e+02,7.278413793103447915e+01,8.350000000000000000e+01,1.950533002298488938e+01
2.780000000000000000e+02,7.304689655172413154e+01,8.450000000000000000e+01,1.852043494134699486e+01
2.790000000000000000e+02,7.330965517241379814e+01,8.500000000000000000e+01,1.830713089663879245e+01
2.800000000000000000e+02,7.357241379310345053e+01,8.500000000000000000e+01,1.768109424639776250e+01
2.810000000000000000e+02,7.383517241379310292e+01,8.450000000000000000e+01,1.776227079764546346e+01
2.820000000000000000e+02,7.409793103448275531e+01,8.600000000000000000e+01,1.762178605448380608e+01
2.830000000000000000e+02,7.436068965517240770e+01,8.700000000000000000e+01,1.713179102980446800e+01
2.840000000000000000e+02,7.462344827586207430e+01,8.550000000000000000e+01,1.826082964450289126e+01
2.850000000000000000e+02,7.488620689655172669e+01,8.800000000000000000e+01,1.781968665939131924e+01
2.860000000000000000e+02,7.514896551724137908e+01,1.135000000000000000e+02,4.011579917875250345e+01
2.870000000000000000e+02,7.541172413793103146e+01,5.530000000000000000e+02,6.599663291074440608e+00
2.880000000000000000e+02,7.567448275862068385e+01,5.495000000000000000e+02,5.475283795283026222e+00
2.890000000000000000e+02,7.593724137931035045e+01,5.510000000000000000e+02,8.142582471523121868e+00
